"AAS Player.dll", 136;
"AAS Player.dll.109", 0 0.044923 192.;
"AAS Player.dll.12", 0 0.070194 416.;
TAL-NoiseMaker.dll.228, 0 0.129507 232.;
TAL-NoiseMaker.dll.180, 0 0.022857 5.;
"AAS Player.dll.42", 0 0.096265 184.;
TAL-NoiseMaker.dll.120, 0 0.081701 259.;
"AAS Player.dll.135", 0 0.017857 24.;
TAL-NoiseMaker.dll.9, 0 0.201615 24.;
TAL-NoiseMaker.dll.238, 0 0.227316 219.;
TAL-NoiseMaker.dll.145, 0 0.231124 709.;
TAL-NoiseMaker.dll.156, 0 0.142808 450.;
"AAS Player.dll.87", 0 0.159869 313.;
"AAS Player.dll.26", 0 0.162213 53.;
TAL-NoiseMaker.dll.67, 0 0.189728 69.;
"AAS Player.dll.20", 0 0.123765 162.;
TAL-NoiseMaker.dll.64, 0 0.063492 3.;
"AAS Player.dll.6", 0 0.230294 247.;
"AAS Player.dll.35", 0 0.10839 10.;
"AAS Player.dll.24", 0 0.127475 318.;
TAL-NoiseMaker.dll.177, 0 0.545262 1076.;
"AAS Player.dll.74", 0 0.047619 24.;
"AAS Player.dll.4", 0 0.05095 521.;
"AAS Player.dll.107", 0 0.671603 127.;
TAL-NoiseMaker.dll.172, 0 0.175736 409.;
TAL-NoiseMaker.dll.182, 0 0.149726 61.;
TAL-NoiseMaker.dll.104, 0 0.18741 174.;
"AAS Player.dll.18", 0 0.49032 16.;
TAL-NoiseMaker.dll.124, 0 0.294122 176.;
"AAS Player.dll.81", 0 0.243858 267.;
Dexed.dll.30, 0 0.104976 139.;
0, 0 0.105861 33.;
TAL-NoiseMaker.dll.0, 0 0.072619 10.;
"AAS Player.dll.104", 0 0.363729 41.;
"AAS Player.dll.31", 0 0.403944 58.;
TAL-NoiseMaker.dll.92, 0 0.158015 183.;
TAL-NoiseMaker.dll.233, 0 0.093904 59.;
TAL-NoiseMaker.dll.206, 0 0.126218 180.;
TAL-NoiseMaker.dll.38, 0 0.240423 1260.;
TAL-NoiseMaker.dll.52, 0 0.217756 118.;
TAL-NoiseMaker.dll.155, 0 0.061145 53.;
"AAS Player.dll.98", 0 0.105911 167.;
"AAS Player.dll.60", 0 0.185833 289.;
"AAS Player.dll.84", 0 0.317655 401.;
"AAS Player.dll.95", 0 0.38989 170.;
TAL-NoiseMaker.dll.48, 0 0.194365 735.;
"AAS Player.dll.82", 0 0.175291 31.;
"AAS Player.dll.8", 0 0.12997 205.;
TAL-NoiseMaker.dll.33, 0 0.090963 330.;
TAL-NoiseMaker.dll.247, 0 0.070553 123.;
TAL-NoiseMaker.dll.75, 0 0.45051 337.;
"AAS Player.dll.99", 0 0.213605 27.;
TAL-NoiseMaker.dll.189, 0 0.164776 735.;
"AAS Player.dll.129", 0 0.096712 88.;
TAL-NoiseMaker.dll.133, 0 0.138084 181.;
TAL-NoiseMaker.dll.199, 0 0.22449 7.;
TAL-NoiseMaker.dll.58, 0 0.098127 175.;
TAL-NoiseMaker.dll.18, 0 0.218163 181.;
TAL-NoiseMaker.dll.59, 0 0.019047 10.;
"AAS Player.dll.63", 0 0.084034 17.;
"AAS Player.dll.13", 0 0.100099 182.;
"AAS Player.dll.85", 0 0.095238 20.;
"AAS Player.dll.54", 0 0.183673 7.;
TAL-NoiseMaker.dll.50, 0 0.068027 7.;
"AAS Player.dll.37", 0 0.147132 20.;
"AAS Player.dll.67", 0 0.269646 72.;
TAL-NoiseMaker.dll.37, 0 0.234911 219.;
"AAS Player.dll.134", 0 0.199828 29.;
"AAS Player.dll.121", 0 0.035918 35.;
"AAS Player.dll.113", 0 0.031746 5.;
TAL-NoiseMaker.dll.30, 0 0.406305 107.;
TAL-NoiseMaker.dll.187, 0 0.15543 76.;
"AAS Player.dll.93", 0 0.090636 74.;
TAL-NoiseMaker.dll.193, 0 0.095431 72.;
TAL-NoiseMaker.dll.125, 0 0.051724 29.;
TAL-NoiseMaker.dll.131, 0 0.109091 1.;
TAL-NoiseMaker.dll.93, 0 0.221102 410.;
TAL-NoiseMaker.dll.217, 0 0.048834 75.;
TAL-NoiseMaker.dll.83, 0 0.335824 353.;
TAL-NoiseMaker.dll.164, 0 0.149259 107.;
TAL-NoiseMaker.dll.107, 0 0.052101 57.;
TAL-NoiseMaker.dll.138, 0 0.049479 8.;
TAL-NoiseMaker.dll.226, 0 0.176874 335.;
TAL-NoiseMaker.dll.209, 0 0.219726 233.;
TAL-NoiseMaker.dll.102, 0 0.1507 92.;
TAL-NoiseMaker.dll.239, 0 0.111879 321.;
TAL-NoiseMaker.dll.121, 0 0.320711 403.;
TAL-NoiseMaker.dll.17, 0 0.033333 16.;
TAL-NoiseMaker.dll.68, 0 0.1692 122.;
TAL-NoiseMaker.dll.227, 0 0.127315 18.;
TAL-NoiseMaker.dll.200, 0 0.086345 17.;
TAL-NoiseMaker.dll.91, 0 0.143528 156.;
TAL-NoiseMaker.dll.219, 0 0.167795 318.;
TAL-NoiseMaker.dll.28, 0 0.272937 1109.;
TAL-NoiseMaker.dll.147, 0 0.249028 168.;
TAL-NoiseMaker.dll.150, 0 0.626471 1236.;
TAL-NoiseMaker.dll.123, 0 0.087653 222.;
TAL-NoiseMaker.dll.20, 0 0.011905 16.;
TAL-NoiseMaker.dll.245, 0 0.046189 26.;
TAL-NoiseMaker.dll.97, 0 0.069924 11.;
TAL-NoiseMaker.dll.46, 0 0.115445 62.;
Dexed.dll.255, 0 0.055212 218.;
TAL-NoiseMaker.dll.167, 0 0.044797 27.;
TAL-NoiseMaker.dll.89, 0 0.103206 62.;
Dexed.dll.132, 0 0.190904 26.;
TAL-NoiseMaker.dll.154, 0 0.341414 240.;
TAL-NoiseMaker.dll.21, 0 0.112935 1041.;
TAL-NoiseMaker.dll.72, 0 0.188462 13.;
TAL-NoiseMaker.dll.81, 0 0.121439 39.;
TAL-NoiseMaker.dll.40, 0 0.210795 845.;
TAL-NoiseMaker.dll.61, 0 0.213553 177.;
TAL-NoiseMaker.dll.86, 0 0.187248 134.;
TAL-NoiseMaker.dll.94, 0 0.242687 81.;
TAL-NoiseMaker.dll.161, 0 0.184862 86.;
TAL-NoiseMaker.dll.100, 0 0.159275 56.;
TAL-NoiseMaker.dll.27, 0 0.163426 248.;
TAL-NoiseMaker.dll.241, 0 0.156148 197.;
